Cut_x,Cut_y,loss,Height,Permitivity,Freq
9.4,0.4,-25.20916981,1.6,2.2,2.45
9.6,0.4,-24.43306844,1.6,2.2,2.45
9.8,0.4,-23.09211128,1.6,2.2,2.45
10,0.4,-22.4289604,1.6,2.2,2.45
10.2,0.4,-21.55665239,1.6,2.2,2.45
10.4,0.4,-21.65419708,1.6,2.2,2.45
10.6,0.4,-20.54767226,1.6,2.2,2.45
10.8,0.4,-20.80897578,1.6,2.2,2.45
0.4,0.6,-25.19760119,1.6,2.2,2.45
0.8,0.6,-25.24097002,1.6,2.2,2.45
1,0.6,-24.72521368,1.6,2.2,2.45
1.2,0.6,-26.13271577,1.6,2.2,2.45
1.4,0.6,-25.31941462,1.6,2.2,2.45
1.6,0.6,-26.59293273,1.6,2.2,2.45
1.8,0.6,-27.06053203,1.6,2.2,2.45
2,0.6,-26.49634686,1.6,2.2,2.45
2.4,0.6,-28.10412907,1.6,2.2,2.45
2.6,0.6,-27.19571478,1.6,2.2,2.45
2.8,0.6,-26.61217941,1.6,2.2,2.45
3,0.6,-28.48541573,1.6,2.2,2.45
3.2,0.6,-28.45769446,1.6,2.2,2.45
3.4,0.6,-32.35739633,1.6,2.2,2.45
3.6,0.6,-32.17795401,1.6,2.2,2.45
3.8,0.6,-28.92672982,1.6,2.2,2.45
4,0.6,-29.14955172,1.6,2.2,2.45
4.2,0.6,-30.9661399,1.6,2.2,2.45
4.4,0.6,-34.18987242,1.6,2.2,2.45
4.6,0.6,-33.88759481,1.6,2.2,2.45
4.8,0.6,-35.23000163,1.6,2.2,2.45
5.4,0.6,-35.13878697,1.6,2.2,2.45
5.6,0.6,-35.80399434,1.6,2.2,2.45
5.8,0.6,-32.58428474,1.6,2.2,2.45
6,0.6,-34.37309851,1.6,2.2,2.45
6.2,0.6,-37.89645577,1.6,2.2,2.45
6.4,0.6,-38.89923459,1.6,2.2,2.45
6.6,0.6,-32.56798989,1.6,2.2,2.45
6.8,0.6,-36.69031488,1.6,2.2,2.45
7,0.6,-32.02088012,1.6,2.2,2.45
7.2,0.6,-30.07439566,1.6,2.2,2.45
7.4,0.6,-29.42196742,1.6,2.2,2.45
7.6,0.6,-27.48852776,1.6,2.2,2.45
7.8,0.6,-30.30834228,1.6,2.2,2.45
8,0.6,-27.25356231,1.6,2.2,2.45
8.2,0.6,-26.11899868,1.6,2.2,2.45
8.4,0.6,-24.52243253,1.6,2.2,2.45
8.6,0.6,-25.02180637,1.6,2.2,2.45
8.8,0.6,-23.04644159,1.6,2.2,2.45
9,0.6,-23.58015859,1.6,2.2,2.45
9.2,0.6,-21.89534633,1.6,2.2,2.45
9.4,0.6,-22.68803844,1.6,2.2,2.45
9.6,0.6,-21.8257072,1.6,2.2,2.45
9.8,0.6,-20.85391899,1.6,2.2,2.45
11.2,0.6,-33.36159291,1.6,2.2,2.45
12.4,0.6,-22.50838581,1.6,2.2,2.45
0.4,0.8,-25.47067754,1.6,2.2,2.45
0.6,0.8,-25.35750544,1.6,2.2,2.45
0.8,0.8,-24.74479581,1.6,2.2,2.45
1,0.8,-25.65012097,1.6,2.2,2.45
1.2,0.8,-25.59424239,1.6,2.2,2.45
1.4,0.8,-26.45028521,1.6,2.2,2.45
1.6,0.8,-28.21700111,1.6,2.2,2.45
1.8,0.8,-26.51101048,1.6,2.2,2.45
2,0.8,-27.00799876,1.6,2.2,2.45
2.2,0.8,-27.60030223,1.6,2.2,2.45
2.4,0.8,-27.90377739,1.6,2.2,2.45
2.6,0.8,-29.14309989,1.6,2.2,2.45
2.8,0.8,-27.19911066,1.6,2.2,2.45
3,0.8,-30.13392333,1.6,2.2,2.45
3.2,0.8,-30.37332258,1.6,2.2,2.45
3.4,0.8,-30.03573287,1.6,2.2,2.45
3.6,0.8,-32.09741214,1.6,2.2,2.45
3.8,0.8,-31.82490901,1.6,2.2,2.45
4,0.8,-31.2583103,1.6,2.2,2.45
4.2,0.8,-35.69775473,1.6,2.2,2.45
4.4,0.8,-34.0842314,1.6,2.2,2.45
4.6,0.8,-33.4757836,1.6,2.2,2.45
5,0.8,-33.08555785,1.6,2.2,2.45
5.6,0.8,-38.8629003,1.6,2.2,2.45
5.8,0.8,-32.54621992,1.6,2.2,2.45
6,0.8,-34.94771605,1.6,2.2,2.45
6.2,0.8,-32.33666066,1.6,2.2,2.45
6.4,0.8,-29.58389149,1.6,2.2,2.45
6.6,0.8,-28.00641863,1.6,2.2,2.45
6.8,0.8,-30.36516681,1.6,2.2,2.45
7,0.8,-28.20431374,1.6,2.2,2.45
7.2,0.8,-27.21889264,1.6,2.2,2.45
7.4,0.8,-26.23168784,1.6,2.2,2.45
7.6,0.8,-24.7711246,1.6,2.2,2.45
7.8,0.8,-24.56302349,1.6,2.2,2.45
8,0.8,-24.09533502,1.6,2.2,2.45
8.2,0.8,-22.9765683,1.6,2.2,2.45
8.4,0.8,-22.33266163,1.6,2.2,2.45
8.6,0.8,-22.98896884,1.6,2.2,2.45
8.8,0.8,-21.41102068,1.6,2.2,2.45
9,0.8,-20.69964424,1.6,2.2,2.45
9.2,0.8,-20.19752134,1.6,2.2,2.45
10,0.8,-38.9906075,1.6,2.2,2.45
10.4,0.8,-21.50609913,1.6,2.2,2.45
0.4,1,-25.70589565,1.6,2.2,2.45
0.6,1,-24.62344599,1.6,2.2,2.45
0.8,1,-25.8048194,1.6,2.2,2.45
1,1,-25.65598884,1.6,2.2,2.45
1.2,1,-25.68279157,1.6,2.2,2.45
1.4,1,-26.50524173,1.6,2.2,2.45
1.6,1,-28.92091422,1.6,2.2,2.45
1.8,1,-26.60478005,1.6,2.2,2.45
2,1,-26.63582296,1.6,2.2,2.45
2.2,1,-26.52713907,1.6,2.2,2.45
2.4,1,-28.67996222,1.6,2.2,2.45
2.6,1,-31.29727296,1.6,2.2,2.45
2.8,1,-32.07777286,1.6,2.2,2.45
3,1,-30.50161692,1.6,2.2,2.45
3.2,1,-30.20697609,1.6,2.2,2.45
3.4,1,-32.78220184,1.6,2.2,2.45
3.6,1,-32.80629473,1.6,2.2,2.45
